_id,Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
1,2013,S08000015,"",0-44 years,"",Males,"",Cerebrovascular Disease,2,"",2.15957067734934,"",2.42847069993869
2,2013,S08000015,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
3,2013,S08000015,"",45-64 years,"",Males,"",Cerebrovascular Disease,10,"",19.2975685063682,"",19.31791429280236
4,2013,S08000015,"",45-64 years,"",Females,"",Cerebrovascular Disease,10,"",17.7626203417528,"",17.741986755847893
5,2013,S08000015,"",65-74 years,"",Males,"",Cerebrovascular Disease,23,"",113.011006289308,"",113.27176733368428
6,2013,S08000015,"",65-74 years,"",Females,"",Cerebrovascular Disease,26,"",114.704195526536,"",117.83911558862026
7,2013,S08000015,"",75plus years,"",Males,"",Cerebrovascular Disease,120,"",891.662951404369,"",1028.1864852497777
8,2013,S08000015,"",75plus years,"",Females,"",Cerebrovascular Disease,172,"",861.335069357504,"",838.4097193644916
9,2013,S08000016,"",0-44 years,"",Males,"",Cerebrovascular Disease,2,"",7.5648687495272,"",8.166201406608536
10,2013,S08000016,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
11,2013,S08000016,"",45-64 years,"",Males,"",Cerebrovascular Disease,3,"",17.5070028011204,"",17.339890181039426
12,2013,S08000016,"",45-64 years,"",Females,"",Cerebrovascular Disease,3,"",16.9971671388102,"",16.47761572250842
13,2013,S08000016,"",65-74 years,"",Males,"",Cerebrovascular Disease,4,"",57.2737686139748,"",61.79911627516507
14,2013,S08000016,"",65-74 years,"",Females,"",Cerebrovascular Disease,8,"",107.38255033557,"",110.81227893051592
15,2013,S08000016,"",75plus years,"",Males,"",Cerebrovascular Disease,41,"",862.613086471702,"",995.6815735687557
16,2013,S08000016,"",75plus years,"",Females,"",Cerebrovascular Disease,37,"",566.962917560527,"",543.8438676933707
17,2013,S08000017,"",0-44 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
18,2013,S08000017,"",0-44 years,"",Females,"",Cerebrovascular Disease,1,"",2.84357494241761,"",2.5613441934327135
19,2013,S08000017,"",45-64 years,"",Males,"",Cerebrovascular Disease,4,"",18.1570585565138,"",17.619271231151824
20,2013,S08000017,"",45-64 years,"",Females,"",Cerebrovascular Disease,5,"",21.6076058772688,"",21.18324431192507
21,2013,S08000017,"",65-74 years,"",Males,"",Cerebrovascular Disease,11,"",117.521367521368,"",124.42775506256189
22,2013,S08000017,"",65-74 years,"",Females,"",Cerebrovascular Disease,10,"",99.6214385335724,"",101.2896249688592
23,2013,S08000017,"",75plus years,"",Males,"",Cerebrovascular Disease,49,"",732.108172717765,"",818.1805221179887
24,2013,S08000017,"",75plus years,"",Females,"",Cerebrovascular Disease,73,"",815.187046342825,"",777.7105023760132
25,2013,S08000019,"",0-44 years,"",Males,"",Cerebrovascular Disease,1,"",1.22978540244727,"",1.1814585274300915
26,2013,S08000019,"",0-44 years,"",Females,"",Cerebrovascular Disease,1,"",1.22218012490681,"",1.112127913775134
27,2013,S08000019,"",45-64 years,"",Males,"",Cerebrovascular Disease,16,"",38.9531345100426,"",40.99489038587621
28,2013,S08000019,"",45-64 years,"",Females,"",Cerebrovascular Disease,8,"",18.7507324504863,"",19.75945936145086
29,2013,S08000019,"",65-74 years,"",Males,"",Cerebrovascular Disease,13,"",91.6913528001128,"",96.21397630293438
30,2013,S08000019,"",65-74 years,"",Females,"",Cerebrovascular Disease,14,"",88.5851683118198,"",93.8951023526114
31,2013,S08000019,"",75plus years,"",Males,"",Cerebrovascular Disease,84,"",910.766561856229,"",1025.755831528312
32,2013,S08000019,"",75plus years,"",Females,"",Cerebrovascular Disease,128,"",941.938332474796,"",932.8325858312816
33,2013,S08000020,"",0-44 years,"",Males,"",Cerebrovascular Disease,1,"",0.602104958936442,"",0.6830193927833412
34,2013,S08000020,"",0-44 years,"",Females,"",Cerebrovascular Disease,2,"",1.24521370980294,"",1.268020564781638
35,2013,S08000020,"",45-64 years,"",Males,"",Cerebrovascular Disease,12,"",15.4205967770953,"",15.751192459975783
36,2013,S08000020,"",45-64 years,"",Females,"",Cerebrovascular Disease,10,"",12.8037694297201,"",13.177827499213112
37,2013,S08000020,"",65-74 years,"",Males,"",Cerebrovascular Disease,32,"",124.702856474806,"",130.5678560377376
38,2013,S08000020,"",65-74 years,"",Females,"",Cerebrovascular Disease,28,"",101.302460202605,"",105.43515006157344
39,2013,S08000020,"",75plus years,"",Males,"",Cerebrovascular Disease,135,"",766.08784473953,"",879.3945720352007
40,2013,S08000020,"",75plus years,"",Females,"",Cerebrovascular Disease,244,"",950.970457557097,"",906.4838771566438
41,2013,S08000022,"",0-44 years,"",Males,"",Cerebrovascular Disease,4,"",4.99756368770224,"",5.123432525437015
42,2013,S08000022,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
43,2013,S08000022,"",45-64 years,"",Males,"",Cerebrovascular Disease,11,"",23.3515900309939,"",22.9950214240777
44,2013,S08000022,"",45-64 years,"",Females,"",Cerebrovascular Disease,11,"",22.5289804612297,"",22.13730599851556
45,2013,S08000022,"",65-74 years,"",Males,"",Cerebrovascular Disease,25,"",135.825274367054,"",137.84966380533385
46,2013,S08000022,"",65-74 years,"",Females,"",Cerebrovascular Disease,15,"",76.4175454684396,"",79.98623693096819
47,2013,S08000022,"",75plus years,"",Males,"",Cerebrovascular Disease,89,"",745.893395910158,"",882.7309826784543
